x,y
2,0
2.07719,0.0449901
2.15439,0.0899803
2.23158,0.13497
2.30877,0.179961
2.38597,0.224951
2.46316,0.269941
2.54035,0.314931
2.61755,0.359921
2.69474,0.404911
2.77193,0.449901
2.84912,0.494891
2.92632,0.53988
3.00351,0.58487
3.0807,0.62986
3.15789,0.67485
3.23508,0.719839
3.31227,0.764829
3.38947,0.809819
3.46666,0.854808
3.54385,0.899798
3.62104,0.944787
3.69823,0.989777
3.77542,1.03477
3.85261,1.07976
3.9298,1.12474
4.00699,1.16973
4.08418,1.21472
4.16136,1.25971
4.23855,1.3047
4.31574,1.34969
4.39293,1.39468
4.47012,1.43967
4.54731,1.48466
4.62449,1.52965
4.70168,1.57464
4.77887,1.61963
4.85606,1.66461
4.93324,1.7096
5.01043,1.75459
5.08762,1.79958
5.16481,1.84457
5.24199,1.88956
5.31916,1.93457
5.39633,1.97958
5.47349,2.02459
5.55066,2.0696
5.62783,2.1146
5.70499,2.15961
5.78216,2.20462
5.85932,2.24963
5.93649,2.29464
6.01365,2.33965
6.09082,2.38466
6.16798,2.42967
6.24515,2.47468
6.32231,2.51968
6.39948,2.56469
6.47664,2.6097
6.55381,2.65471
6.63097,2.69972
6.70813,2.74473
6.7853,2.78974
6.86246,2.83474
6.93962,2.87975
7.01679,2.92476
7.09395,2.96977
7.17111,3.01478
7.24827,3.05979
7.32543,3.10479
7.4026,3.1498
7.47976,3.19481
7.55692,3.23982
7.63408,3.28483
7.71124,3.32983
7.7884,3.37484
7.86556,3.41985
7.94272,3.46486
8.01988,3.50987
8.09704,3.55487
8.1742,3.59988
8.25136,3.64489
8.32852,3.6899
8.40568,3.7349
8.48284,3.77991
8.56,3.82492
8.63716,3.86993
8.71431,3.91493
8.79147,3.95994
8.86863,4.00495
8.94579,4.04996
9.02294,4.09496
9.1001,4.13997
9.17726,4.18498
9.25441,4.22998
9.33157,4.27499
9.40873,4.32
9.48588,4.36501
9.56304,4.41001
9.64019,4.45502
9.71735,4.50003
9.79451,4.54503
9.87166,4.59004
9.94882,4.63505
10.026,4.68005
10.1031,4.72506
10.1803,4.77007
10.2574,4.81507
10.3346,4.86008
10.4117,4.90509
10.4889,4.95009
10.566,4.9951
10.6432,5.04011
10.7203,5.08511
10.7975,5.13012
10.8746,5.17522
10.9517,5.22032
11.0288,5.26542
11.1059,5.31052
11.183,5.35562
11.2601,5.40072
11.3373,5.44582
11.4144,5.49092
11.4915,5.53602
11.5686,5.58112
11.6457,5.62622
11.7228,5.67132
11.7999,5.71642
11.877,5.76152
11.9541,5.80662
12.0312,5.85173
12.1083,5.89683
12.1854,5.94193
12.2625,5.98703
12.3396,6.03213
12.4167,6.07723
12.4938,6.12233
12.5709,6.16743
12.648,6.21253
12.7251,6.25763
12.8022,6.30273
12.8793,6.34783
12.9564,6.39293
13.0335,6.43803
13.1106,6.48313
13.1877,6.52823
13.2648,6.57333
13.3419,6.61843
13.419,6.66353
13.4961,6.70863
13.5732,6.75373
13.6503,6.79883
13.7274,6.84393
13.8045,6.88903
13.8816,6.93413
13.9587,6.97923
14.0358,7.02433
14.1129,7.06943
14.19,7.11453
14.2671,7.15963
14.3442,7.20473
14.4213,7.24983
14.4984,7.29493
14.5755,7.34003
