x,y
2,0
2.0437,0.0876863
2.0874,0.175373
2.13109,0.263059
2.17479,0.350745
2.21849,0.438432
2.26219,0.526118
2.30589,0.613804
2.34959,0.701491
2.39328,0.789178
2.43698,0.876865
2.48067,0.964552
2.52437,1.05224
2.56806,1.13993
2.61176,1.22761
2.65546,1.3153
2.69915,1.40299
2.74285,1.49068
2.78654,1.57836
2.83023,1.66605
2.87393,1.75374
2.91762,1.84143
2.96131,1.92912
3.00501,2.0168
3.0487,2.10449
3.09239,2.19218
3.13608,2.27987
3.17977,2.36756
3.22347,2.45525
3.26716,2.54293
3.31085,2.63062
3.35454,2.71831
3.39823,2.806
3.44192,2.89369
3.48561,2.98138
3.5293,3.06907
3.57299,3.15676
3.61667,3.24445
3.66036,3.33214
3.70405,3.41983
3.74774,3.50751
3.79143,3.5952
3.83512,3.68289
3.8788,3.77058
3.92249,3.85827
3.96617,3.94596
4.00986,4.03365
4.05355,4.12135
4.09723,4.20904
4.14092,4.29673
4.1846,4.38442
4.22829,4.47211
4.27197,4.5598
4.31566,4.64749
4.35934,4.73518
4.40303,4.82287
4.44671,4.91056
4.49039,4.99825
4.53407,5.08594
4.57776,5.17363
4.62144,5.26133
4.66512,5.34902
4.7088,5.43671
4.75248,5.5244
4.79617,5.61209
4.83971,5.69989
4.88326,5.78769
4.92681,5.87549
4.97036,5.96329
5.01391,6.0511
5.05746,6.1389
5.10101,6.2267
5.14456,6.3145
5.18811,6.40228
5.23166,6.49005
5.27521,6.57783
5.31876,6.66561
5.36231,6.75338
5.40586,6.84116
5.44941,6.92894
5.49296,7.01671
5.53651,7.10449
5.58005,7.19227
5.6236,7.28005
5.66715,7.36782
5.7107,7.4556
5.75424,7.54338
5.79779,7.63116
5.84134,7.71894
5.88488,7.80671
5.92843,7.89449
5.97198,7.98227
6.01552,8.07005
6.05907,8.15783
6.10261,8.24561
6.14616,8.33339
6.1897,8.42116
6.23324,8.50894
6.27679,8.59672
6.32033,8.6845
6.36387,8.77228
6.40742,8.86006
6.45096,8.94784
6.4945,9.03562
6.53804,9.1234
6.58158,9.21118
6.62512,9.29896
6.66867,9.38674
6.71221,9.47452
6.75575,9.5623
6.79929,9.65008
6.84283,9.73786
6.88637,9.82564
6.92991,9.91342
6.97344,10.0012
7.01698,10.089
7.06052,10.1768
7.10406,10.2645
7.1476,10.3523
7.19113,10.4401
7.23467,10.5279
7.27821,10.6157
7.32174,10.7034
7.36528,10.7912
7.40881,10.879
7.45235,10.9668
7.49588,11.0546
7.53942,11.1424
7.58296,11.2301
7.62649,11.3179
7.67002,11.4057
7.71355,11.4935
7.75709,11.5813
7.80062,11.669
7.84415,11.7568
7.88769,11.8446
7.93122,11.9324
7.97475,12.0202
8.01828,12.108
8.06181,12.1957
8.10534,12.2835
8.14887,12.3713
8.1924,12.4591
8.23593,12.5469
8.27946,12.6346
8.32299,12.7224
8.36652,12.8102
8.41005,12.898
8.45358,12.9858
8.4971,13.0736
8.54063,13.1613
8.58416,13.2491
8.62769,13.3369
8.67121,13.4247
8.71474,13.5125
8.75827,13.6003
8.80179,13.688
8.84532,13.7758
8.88884,13.8636
8.93237,13.9514
8.97589,14.0392
9.01942,14.127
9.06294,14.2147
9.10646,14.3025
9.14999,14.3903
9.19351,14.4781
9.23703,14.5659
9.28056,14.6537
9.32408,14.7415
9.3676,14.8292
9.41112,14.917
9.45464,15.0048
9.49816,15.0926
9.54168,15.1804
9.5852,15.2682
9.62872,15.3559
9.67224,15.4437
9.71576,15.5315
